HOLD UP,IF I WERE A BOY,FLAWLESS,SINGLE LADIES,7/11,CRAZY IN LOVE,RUN THE WORLD
RIGHT THRU ME,PILLS N POTIONS,FEELING MYSELF,STARSHIPS,POUND THE ALARM,MOMENT 4 LIFE,SUPER BASS
LOVE THE WAY YOU LIE,LOVE ON THE BRAIN,NEEDED ME,WE FOUND LOVE,DON'T STOP THE MUSIC,UMBRELLA,TAKE A BOW
LOVESICK GIRLS,YOU NEVER KNOW,BET YOU WANNA,HOW YOU LIKE THAT,ICE CREAM,WHISTLE,CRAZY OVER YOU
STREETS,YOU RIGHT,GET INTO IT (YUH),WOMAN,KISS ME MORE,CANDY,SAY SO
HAPPINESS OVER EVERYTHING,BS,SPEAK,PARTY FOR ME,LOVE,POST TO BE,SATIVA
HOLD ON WE'RE GOING HOME,MARVIN'S ROOM,STARTED FROM THE BOTTOM,JUMPMAN,ONE DANCE,BEST I EVER HAD,HOTLINE BLING
IMAGINE,LOVE ME HARDER,7 RINGS,BANG BANG,NO TEARS LEFT TO CRY,BREAK FREE,THE WAY
HEARTLESS,THE HILLS,STARBOY,BLINDING LIGHTS,I FEEL IT COMING,CAN'T FEEL MY FACE,EARNED IT
WILDEST DREAMS,LOVER,YOU NEED TO CALM DOWN,SHAKE IT OFF,BLANK SPACE,YOU BELONG WITH ME,WE ARE NEVER EVER GETTING BACK TOGETHER
